Depart;Arriver;Cost
17;29;0.925223214
17;30;0.972711768
17;31;0.939115451
17;32;0.939497717
17;33;0.953555046
17;34;0.922562674
17;35;0.916666667
18;19;0.99884058
18;20;0.980358174
18;21;0.943201377
18;22;0.947816222
18;23;0.917531719
18;24;0.921037464
18;25;0.92861255
18;26;0.935376045
18;27;0.961187215
18;28;0.978723404
18;29;0.925223214
18;30;0.972711768
18;31;0.939115451
18;32;0.939497717
18;33;0.953555046
18;34;0.922562674
18;35;0.916666667
19;20;0.98150289
19;21;0.942087156
19;22;0.946712018
19;23;0.916426513
19;24;0.919930876
19;25;0.927502877
19;26;0.934298441
19;27;0.960068454
19;28;0.97986191
19;29;0.92414947
19;30;0.973833902
19;31;0.938002296
19;32;0.938391329
19;33;0.95243553
19;34;0.921492205
19;35;0.91558807
20;21;0.947368421
20;22;0.948630137
20;23;0.920395119
20;24;0.923925668
20;25;0.932675566
20;26;0.925306577
20;27;0.95423341
20;28;0.991268917
20;29;0.930219471
20;30;0.965811966
20;31;0.93876372
20;32;0.94137931
20;33;0.962340672
20;34;0.914620536
20;35;0.909706546
21;22;0.938505747
21;23;0.948656716
21;24;0.952267303
21;25;0.968282466
21;26;0.914189568
21;27;0.957656613
21;28;0.953757225
21;29;0.958959538
21;30;0.935831914
21;31;0.961538462
21;32;0.962941176
21;33;0.954439252
21;34;0.925042589
21;35;0.91137793
22;23;0.914979757
22;24;0.919606709
22;25;0.930555556
22;26;0.934041364
22;27;0.957665904
22;28;0.947159091
22;29;0.919553073
22;30;0.935050392
22;31;0.937752161
22;32;0.928205128
22;33;0.965816918
22;34;0.927650028
22;35;0.900224215
23;24;0.988847584
23;25;0.948671498
23;26;0.89429056
23;27;0.928405122
23;28;0.921250724
23;29;0.920900693
23;30;0.904951622
23;31;0.945574163
23;32;0.941315945
23;33;0.919345412
23;34;0.911545089
23;35;0.904236796
24;25;0.945279615
24;26;0.898812889
24;27;0.9330617
24;28;0.924768519
24;29;0.92551963
24;30;0.908418658
24;31;0.949193066
24;32;0.94260355
24;33;0.926272674
24;34;0.917241379
24;35;0.902255639
25;26;0.901971831
25;27;0.944088526
25;28;0.937971014
25;29;0.938692886
25;30;0.920273349
25;31;0.941943128
25;32;0.958456973
25;33;0.945326279
25;34;0.919290212
25;35;0.927696793
26;27;0.932998325
26;28;0.928253615
26;29;0.895310796
26;30;0.920879121
26;31;0.911235955
26;32;0.901166019
26;33;0.926487093
26;34;0.909390445
26;35;0.887727023
27;28;0.957191781
27;29;0.937993236
27;30;0.94488189
27;31;0.950144928
27;32;0.949337939
27;33;0.943331425
27;34;0.928771733
27;35;0.908835115
28;29;0.937535172
28;30;0.974344356
28;31;0.936206897
28;32;0.93993135
28;33;0.959654179
28;34;0.916527546
28;35;0.908426966
29;30;0.929961089
29;31;0.936926606
29;32;0.952900632
29;33;0.932539683
29;34;0.915141431
29;35;0.897493036
30;31;0.920859243
30;32;0.935483871
30;33;0.941676104
30;34;0.917725014
30;35;0.906510851
