Depart;Arriver;Cost
2;106;0.888463641
2;107;0.900219298
2;108;0.920179876
2;109;0.88762215
2;110;0.90137741
2;111;0.916201117
2;112;0.897309171
2;113;0.912063134
2;114;0.955530217
2;115;0.940023068
2;116;0.952573742
2;117;0.981395349
2;118;0.89580908
2;119;0.951388889
2;120;0.911798396
2;121;0.903559127
2;122;0.91323693
2;123;0.917288914
3;4;0.995305164
3;5;0.994715208
3;6;0.996472663
3;7;0.996474736
3;8;0.994128009
3;9;0.99706228
3;10;0.993544601
3;11;0.978337237
3;12;0.909669948
3;13;0.854323854
3;14;0.921784473
3;15;0.910196987
3;16;0.886508396
3;17;0.920537213
3;18;0.928891377
3;19;0.963350785
3;20;0.933967543
3;21;0.917777778
3;22;0.930050364
3;23;0.925656792
3;24;0.92746114
3;25;0.893703062
3;26;0.96559633
3;27;0.952326249
3;28;0.954701835
3;29;0.95530086
3;30;0.958094145
3;31;0.946520989
3;32;0.949570201
3;33;0.949570201
3;34;0.94053745
3;35;0.943871707
3;36;0.949396205
3;37;0.960207612
3;38;0.965717606
3;39;0.98018648
3;40;0.866319444
3;41;0.935042735
3;42;0.935042735
3;43;0.944
3;44;0.971643519
3;45;0.952078522
3;46;0.894247531
3;47;0.896931094
3;48;0.921341816
3;50;0.931428571
3;51;0.934997098
3;52;0.915723982
3;53;0.936738247
3;54;0.947701149
3;55;0.930089485
3;56;0.930493274
3;57;0.929971989
3;58;0.932923421
3;59;0.933930571
3;60;0.938306225
3;61;0.939106145
3;62;0.935014006
3;63;0.939495798
3;64;0.940616246
3;65;0.932923421
3;66;0.930764936
3;67;0.932136848
3;68;0.927446569
3;69;0.943538999
3;70;0.972157773
3;71;0.967592593
3;72;0.965697674
3;73;0.961098398
3;74;0.9604811
3;75;0.977430556
3;76;0.886574074
3;77;0.976825029
3;78;0.973502304
3;79;0.973487032
3;80;0.960488088
3;81;0.974063401
3;82;0.974639769
3;83;0.909695291
3;84;0.965237543
3;85;0.963435868
3;86;0.954677513
3;87;0.959930314
3;88;0.96287703
3;89;0.955916473
3;90;0.954123113
3;91;0.965217391
3;92;0.966376812
3;93;0.962275102
3;94;0.961181924
3;95;0.959396752
3;96;0.981264637
3;97;0.970520231
3;98;0.887978142
3;99;0.900658617
3;100;0.872043011
3;101;0.899505766
3;102;0.911073826
3;103;0.872249061
3;104;0.882129278
3;105;0.900817439
3;106;0.888949672
3;107;0.90071311
3;108;0.920697413
3;109;0.887079262
3;110;0.901874311
3;111;0.916713248
3;112;0.896760022
3;113;0.912577552
3;114;0.954960091
3;115;0.940565493
3;116;0.951995373
3;117;0.980813953
3;118;0.895227008
3;119;0.95193978
3;120;0.912320917
3;121;0.904078116
3;122;0.912680756
3;123;0.918918919
4;5;0.995887192
4;6;0.994128009
4;7;0.992961877
4;8;0.995299647
4;9;0.998236332
4;10;0.995887192
4;11;0.974868498
4;12;0.90746096
4;13;0.85324826
4;14;0.919560185
4;15;0.909090909
4;16;0.885416667
4;17;0.917318436
4;18;0.925656792
4;19;0.963350785
4;20;0.930726257
4;21;0.9145868
4;22;0.927892677
4;23;0.922433036
4;24;0.926352129
4;25;0.8926097
4;26;0.967853042
4;27;0.94896789
4;28;0.951345163
4;29;0.95194508
4;30;0.954727794
4;31;0.943168772
4;32;0.946224256
